Time,Total,,
10/01/2030 22:59,51825.32391,,
10/01/2030 23:59,46346.9523,,
11/01/2030 00:59,42663.67323,,
11/01/2030 01:59,41593.28548,,
11/01/2030 02:59,38608.49552,,
11/01/2030 03:59,35512.67831,,
11/01/2030 04:59,33412.1791,,
11/01/2030 05:59,31233.67994,,
11/01/2030 06:59,32822.45346,,
11/01/2030 07:59,37729.66668,,
11/01/2030 08:59,44637.14589,,
11/01/2030 09:59,46535.16393,,
11/01/2030 10:59,47326.65594,,
11/01/2030 11:59,47121.69117,,
11/01/2030 12:59,46968.46448,,
11/01/2030 13:59,46799.94814,,
11/01/2030 14:59,45048.59867,,
11/01/2030 15:59,45101.87553,,
11/01/2030 16:59,45997.53752,,
11/01/2030 17:59,49664.20268,,
11/01/2030 18:59,53652.74198,,
11/01/2030 19:59,52660.3191,,
11/01/2030 20:59,50114.90955,,
11/01/2030 21:59,47775.9082,,
11/01/2030 22:59,49418.00531,,
11/01/2030 23:59,47616.58245,,
12/01/2030 00:59,43850.08104,,
12/01/2030 01:59,43006.19164,,
12/01/2030 02:59,40121.93646,,
12/01/2030 03:59,37065.08248,,
12/01/2030 04:59,34957.77388,,
12/01/2030 05:59,32685.73048,,
12/01/2030 06:59,34149.78199,,
12/01/2030 07:59,39136.95292,,
12/01/2030 08:59,46310.35696,,
12/01/2030 09:59,48639.21974,,
12/01/2030 10:59,49870.90333,,
12/01/2030 11:59,49925.54642,,
12/01/2030 12:59,49918.83173,,
12/01/2030 13:59,49779.66728,,
12/01/2030 14:59,47910.80201,,
12/01/2030 15:59,47742.64498,,
12/01/2030 16:59,48193.79203,,
12/01/2030 17:59,51099.15366,,
12/01/2030 18:59,54943.74534,,
12/01/2030 19:59,54392.19396,,
12/01/2030 20:59,52129.23095,,
12/01/2030 21:59,49590.78235,,
12/01/2030 22:59,50947.88866,,
12/01/2030 23:59,45992.93124,,
13/01/2030 00:59,43346.11945,,
13/01/2030 01:59,42366.21208,,
13/01/2030 02:59,39229.73333,,
13/01/2030 03:59,36087.87437,,
13/01/2030 04:59,33899.90658,,
13/01/2030 05:59,31207.93762,,
13/01/2030 06:59,30893.528,,
13/01/2030 07:59,32502.62863,,
13/01/2030 08:59,37218.2775,,
13/01/2030 09:59,39750.48794,,
